id,sub_category,branch,name,description,module_type,exclusive_ids,hybrids,timePeriod,module_content_type,module_type_index,image_url,price,bonus,penalty,specialFunctions,blockIds,enableIds,comboBonusIds,authorshipPercent
-1000000,,Executive,Executive Branch,"<em>You can delegate authority, but you cannot delegate responsibility</em><br>(Byron Dorgan)",ModuleTypeCard,,,,Executive,0,,,,,,,,,
1,Head of State,Executive Core Articles,Head of State: Empowered President,"An Empowered President, elected directly or indirectly by the entire electorate, meant to personify the will of the people in single individual's leadership abilities. ", Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/1.png,20,"High Authority,High Independence,High Law and Order","High Progressivism, High Collectivism","Blocks Prime Minister, King, High Priest, Enables Vice President",,,,8
2,Head of State,Executive Core Articles,Head of State: Prime Minister,"As the head of the Legislative/Parliamentary system, the Prime Minister’s authority arises from the elected representatives choice of a leader amongst themselves. This helps reduce gridlock in government, while also disconnecting the Head of State from the direct will of the electorate.",Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/2.png,20,"Medium Authority,High Law and Order",High Progressivism,"Blocks Empowered President, High Priest, Vice President",,,,6
3,Head of State,Executive Core Articles,Head of State: King,"Historically the center of authority in pre-modern governments, the King's authority rests on a traditional architecture of original military conquest, hereditary transitions of power, and usually some notion of Divine Will. Though once always autocratic and ruling through all powerful fiat of their will, many monarchs have ceded power to more democratic and parliamentary governments, becoming largely figureheads of continuity and tradition.",Exclusive,"1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/25.png,20,"High Authority,High Tradition,High Collectivism,High Law and Order","High Progressivism,High Liberty,High Privacy","Blocks Empowered President, High Priest, Vice President",,,,6
4,Head of State - Theocracy,Executive Core Articles,Head of State: High Priest,"In a proper Theocracy, the central authority rests with the highest authority of the clergy of the religious faith that underpins the government, the spiritual leader of the majority of the population of the country. This authority may function as an interpretive and judicial authority primarily; or it may be an absolute autocratic authority over all structures of government.",Exclusive,"1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/7.png,20,"High Authority,High Tradition,High Collectivism,High law and order,Low Science","High Progressivism,High Liberty,High Science","Blocks Empowered President, King, Vice President",,,,8
5,Head of State,Executive Core Articles,Head of State: None,No head of state,"Exclusive
","1,2,3,4,5,6,7,8",,Futurist,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/29.png,20,"Low Authority, High Progrevissim, High Collectivism","High Independence, High law and order",,,,,8
6,Head of State,Executive Core Articles,Head of State: Appointed by religious body,Theocracy is a term that refers to social organization where a religious order is the source of secular authority. In such a society the Head of State may be directly appointed by the institution incorporating state religion – although that is not necessarily the case.,"Exclusive
","1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/16.png,15,"High Tradition, High Authority","High Progressivism, High Collectivism",,,,,8
7,Head of State,Executive Core Articles,Head of State: Figurehead President,"In the case of the Head of State being a Prime Minister, King or Supreme Theocrat, then there might be an executive position called President, that may be appointed or elected, and generally performs public relations for the government, as well as matters of diplomacy and affairs of state.",Exclusive,"1,2,3,4,5,6,7,8",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/1.png,5,"High Collectivism,High Authority",Low Independence,,,,,5
8,Head of State,Executive Core Articles,Head State: Elected by regional bodies,"In a federation of some kind, or a state where regional authorities together have some responsibility in state affairs, the head of state may represent these bodies. A president e.g. elected or appointed by regional legislatures or regional councils could then be seen as having an important role in bringing together or uniting different parts of the same country.",Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/3.png,15,"High Collectivism, Low Hostility of Neighbors","High Independence, High law and order",,,,,8
9,Mandate,Executive Core Articles,Cabinet appointed by Head of State,"Sometimes called the ""to the victor go the spoils"" approach, this allows the Executive Head of State to compose a team of cabinet members that they select, insuring a team of like minded individuals likely to work well with the Head of State and each other. Comes with increased risk of cronyism. ",Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/4.png,5,"High Authority,High Liberty
",High Progressivism,,,,,3
