id,sub_category,branch,name,description,module_type,exclusive_ids,hybrids,timePeriod,module_content_type,module_type_index,image_url,price,bonus,penalty,specialFunctions,blockIds,enableIds,comboBonusIds,authorshipPercent
-1000000,,Executive,Framkvæmdarvald,<em>Þú getur framselt vald en þú getur ekki framselt ábyrgð</em><br>(Byron Dorgan),ModuleTypeCard,,,,Executive,0,,,,,,,,,
1,Head of State,Executive Core Articles,Þjóðhöfðingi: Valdamikill forseti,Valdamikill forseti kosinn af almenningi er holdgervingur þjóðarviljans og sýnir með leiðtogahæfileikum sínum hvert þjóðin skal stefna., Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/1.png,20,"High Authority,High Independence,High Law and Order","High Progressivism, High Collectivism","Blocks Prime Minister, King, High Priest, Enables Vice President",,,,8
2,Head of State,Executive Core Articles,Þjóðhöfðingi: Forsætisráðherra,"Sem leiðtogi í þingræðiskerfi þiggur forsætisráðherrann völd frá kjörnum fulltrúum. Þetta fyrirkomulag getur komið í veg fyrir togstreitu í stjórn ríkisins, en heggur um leið á bein tengsl milli þjóðhöfðingja og þjóðarvilja.",Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/2.png,20,"Medium Authority,High Law and Order",High Progressivism,"Blocks Empowered President, High Priest, Vice President",,,,6
3,Head of State,Executive Core Articles,Þjóðhöfðingi: Konungur,"Konungur var miðpunktur valds fyrir daga nútímalegra stjórnarhátta. Vald hans hvílir á blöndu af yfirræðaum í krafti hervalds, erfðarétti og sérstöku sambandi við guðdóminn. Konungar voru áður einráðir og gátu gefið út tilskipanir og fyrirmæli að vild, en hafa í mörgum tilfellum gefið völd sín eftir til lýðræðislegra stjórnvalda og fallist á þingræði. Með því er hlutverk þeirra að verja samfellu og hefð.",Exclusive,"1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/25.png,20,"High Authority,High Tradition,High Collectivism,High Law and Order","High Progressivism,High Liberty,High Privacy","Blocks Empowered President, High Priest, Vice President",,,,6
4,Head of State - Theocracy,Executive Core Articles,Þjóðhöfðingi: Æðstiprestur,"Í raunverulegu klerkaveldi fara leiðtogar trúarlegrar stofnunar með æsta veraldlegt vald. Það er trúin og kennisetningar hennar sem ríkisstjórnin byggir á og politískur leiðtogi er einnig andlegur leiðtogi. Hann getur verið kennivald og dómsvald fyrstog fremst, en gæti líka haft æðstu stjórn á öllum sviðum ríkisvaldsins.",Exclusive,"1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/7.png,20,"High Authority,High Tradition,High Collectivism,High law and order,Low Science","High Progressivism,High Liberty,High Science","Blocks Empowered President, King, Vice President",,,,8
5,Head of State,Executive Core Articles,Þjóðhöfðingi: Enginn,Enginn þjóðhöfðingi,"Exclusive
","1,2,3,4,5,6,7,8",,Futurist,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/29.png,20,"Low Authority, High Progrevissim, High Collectivism","High Independence, High law and order",,,,,8
6,Head of State,Executive Core Articles,Þjóðhöfðingi: Trúarlegur,Guðræði er orð sem haft er um félagslegt skipulag þar sem trúarsetningar eru uppspretta veraldlegs valds. Í slíku samfélagi getur þjóðhöfðingi verið skipaður af trúarstofnuninni sem annast trúarlega starfsemi.,"Exclusive
","1,2,3,4,5,6,7,8",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/16.png,15,"High Tradition, High Authority","High Progressivism, High Collectivism",,,,,8
7,Head of State,Executive Core Articles,Þjóðhöfðingi: Táknrænn forseti,"Forseti sem gegnir í valdalausu embætti í ríki þar sem forsætisráðherra, konungur eða trúarleiðtogi hefur hin raunverulegu völd. Forsetinn getur verið þjóðkjörinn eða kosinn af þingun. Hann hefur almannatengslahlutverk og kemur fram fyrir hönd ríkisstjórnar og sem táknrænn fulltrúi þjóðarinnar út á við.",Exclusive,"1,2,3,4,5,6,7,8",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/1.png,5,"High Collectivism,High Authority",Low Independence,,,,,5
8,Head of State,Executive Core Articles,Þjóðhöfðingi: Kosinn af héraðsráðum,"Í sambandsríki af einhverri gerð, eða ríki þar sem héraðsyfirvöld bera vissa ábyrgð á ríkisvaldinu, má hugsa sér að þjóðhöfðingi þurfi fyrst og fremst að vera fulltrúi slíkra stofnana. Þannig gæti forseti sem t.d. er kosinn af héraðsþingum eða héraðsráðum haft sýnilegt og mikilvægt hlutverk í að sameina ólíka hluta sama lands.",Exclusive,"1,2,3,4,5,6,7,8",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/3.png,15,"High Collectivism, Low Hostility of Neighbors","High Independence, High law and order",,,,,8
9,Mandate,Executive Core Articles,Ríkisstjórn skipuð af þjóðhöfðingja,"Þessi nálgun er stundum nefnd ""herfangið er sigurvegarans"" en hún gerir framkvæmdarvaldinu kleift að setja saman stjórnarteymi að eigin vali til að tryggja að einstaklingar sem eru sama sinnis og líklegir til að vinna vel saman og með þjóðhöfðingjanum sitji í stjórn. Felur í sér hættu á frændhygli.",Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/4.png,5,"High Authority,High Liberty
",High Progressivism,,,,,3
10,Checks & Balances,Executive Amendments,Neitunarvald,"Framkvæmdarvaldið hefur eftirlit með löggjafanum og getur komið í veg fyrir að ný lög taki gildi – hvort heldur með því að leggjast gegn vija almennings þegar vinsæl lög eru samþykkt, eða þvert á móti gerast talsmaður almennings ef óvinsælar ákvarðanir eru teknar.",Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/5.png,10,"High Authority,High Liberty
",High Collectivism,,,,,3
11,Limits on Power,Executive Amendments,Takmarkanir á embættistíma: Þjóðhöfðingi,"Þjóðhöfðingi getur setið í vissan fjölda kjörtímabila, en hefur ekki kjörgengi fram yfir það. ",Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/2.png,5,"High Liberty,High Independence,High Collectivism","High Tradition
","Blocked by King, High Priest",,,,3
12,Limits on Power,Executive Amendments,Aldursskilyrði fyrir þjóðhöfðingja,Til að geta boðið sig fram í embætti þjóðhöfðingja þarf fólk að hafa ná vissum aldri – hærri en kosningaaldri svo tryggt sé að þeir sem embættinu gegna búi yfir vissri lífsreynslu.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/6.png,5,High Tradition,"High Progressivism
","Blocked by King, High Priest",,,,3
13,Limits on Power,Executive Amendments,Hæfisskilyrði: Þjóðhöfðingi,Frambjóðendur til embættis forseta verða að hafa náð vissum árangri í störfum sínum þannig að tryggt sé að þeir búi yfir hæfni og manndómi til að gegna starfinu. Skilyrðum er nánar lýst í lögum.,Simple,,,Futurist,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/1.png,5,"High Science,High Progressivism,Bonus for Population > 10M","High Tradition,High Authority
","Blocked by King, High Priest",,,,5
14,Limits on Power,Executive Amendments,Hagsmunaárekstrar: Þjóðhöfðingi,Þjóðhöfðingi má ekki hafa neinna þeirra hagsmuna að gæta í viðskipta- eða atvinnulífi sem getur skapað hagsmunaárekstra gagnvart ríkinu. Það verður að vera hafið yfir vafa að þjónusta þjóðhöfðingja við ríkið sé skilyrðislaus.,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/3.png,5,"High Collectivism,High Progressivism,High Law and Order","High Privacy
","Blocked by King, High Priest",,,,3
